asset,horizon,b1_viability_tier,b1_delta_priority,n_train,n_val,n_test,pers_MAE,pers_RMSE,pers_sMAPE,pers_R2,pers_DirAcc,pers_MacroF1_2pct,lvl_test_MAE,lvl_test_RMSE,lvl_test_sMAPE,lvl_test_R2,lvl_test_DirAcc,lvl_test_MacroF1_2pct,dlt_test_MAE,dlt_test_RMSE,dlt_test_sMAPE,dlt_test_R2,dlt_test_DirAcc,dlt_test_MacroF1_2pct,lvl_val_MAE,lvl_val_RMSE,lvl_val_sMAPE,lvl_val_R2,lvl_val_DirAcc,lvl_val_MacroF1_2pct,dlt_val_MAE,dlt_val_RMSE,dlt_val_sMAPE,dlt_val_R2,dlt_val_DirAcc,dlt_val_MacroF1_2pct,dlt_unc_resid_P10,dlt_unc_resid_P50,dlt_unc_resid_P90,dlt_unc_resid_std,dlt_unc_interval_width_80pct,lvl_best_K,lvl_best_alpha,dlt_best_K,dlt_best_alpha,lvl_top5_features,dlt_top5_features,win_score,win_verdict,dlt_beats_pers_sMAPE,dlt_beats_pers_DirAcc,dlt_beats_level_F1,dlt_beats_pers_MAE,dlt_beats_level_MAE
panamax,14d,UNKNOWN,UNKNOWN,1802,387,374,1769.6,2245.9,11.55,0.6025,0.0,6.3,3683.9,4200.5,24.22,-0.3905,43.0,21.2,1923.5,2408.7,12.66,0.5428,46.0,28.2,1710.3,2249.7,12.04,0.5523,58.7,44.8,1695.9,2133.6,12.0,0.5973,63.0,44.0,-2130.9,-88.8,2807.3,2128.4,4938.3,20,10.0,10,100.0,"kdci, panamax, supramax, handy, mp1","kdci_lag_7, kdci_lag_14, cape_lag_7, cape_lag_14, cape_rmean_14",2,MARGINAL,False,True,True,False,True
panamax,30d,UNKNOWN,UNKNOWN,1803,387,358,2609.3,3251.3,17.02,0.0758,0.0,4.2,5928.0,6717.3,42.63,-2.9451,34.1,16.0,2821.0,3383.4,18.34,-0.0009,46.9,28.6,1721.2,2250.9,12.74,0.5469,78.3,58.1,2318.7,2831.3,16.89,0.2831,65.9,49.3,-2975.8,-2.2,4337.7,2812.9,7313.5,30,1.0,10,100.0,"panamax, supramax, handy, mp1, mp2","cape, mc8, mc9, cape_lag_1, cape_lag_3",2,MARGINAL,False,True,True,False,True
supramax,1d,UNKNOWN,UNKNOWN,1803,387,387,156.5,220.9,1.06,0.9961,0.3,30.9,244.3,298.5,1.58,0.9929,48.3,38.8,136.5,186.6,0.89,0.9972,67.4,37.3,173.6,227.6,1.25,0.9926,66.1,39.6,138.1,191.0,1.01,0.9948,70.8,40.8,-218.2,-17.0,198.1,190.5,416.2,50,1.0,30,100.0,"kdci, panamax, supramax, handy, mp1","cape_lag_14, kdci_chg_1, kdci_chg_7, kdci_chg_14, cape_chg_1",3,WIN,True,True,False,True,True
supramax,7d,UNKNOWN,UNKNOWN,1802,387,381,852.8,1115.2,5.76,0.8947,0.0,13.0,1638.6,1893.4,10.51,0.6964,44.9,22.8,809.8,1025.2,5.41,0.911,58.8,41.0,850.8,1168.0,6.23,0.8142,65.6,54.2,797.9,1003.8,5.96,0.8628,69.5,51.8,-1212.1,24.2,1376.2,1002.3,2588.3,20,1.0,50,10.0,"panamax, supramax, handy, mp2, mp3","ms7, kdci_lag_7, kdci_lag_14, cape_lag_7, cape_lag_14",4,STRONG_WIN,True,True,True,True,True
supramax,14d,UNKNOWN,UNKNOWN,1802,387,374,1365.5,1812.2,9.13,0.7046,0.0,10.6,2751.4,3109.2,18.31,0.1304,36.4,19.0,1294.1,1693.3,8.71,0.7421,59.4,41.3,1283.0,1728.7,9.41,0.5964,71.3,55.9,1369.8,1901.8,9.92,0.5115,70.0,49.2,-2213.2,-109.1,1868.3,1897.7,4081.5,50,100.0,50,1.0,"kdci, panamax, supramax, handy, mp1","mc8, ms7, potassium_chloride, kdci_lag_3, kdci_lag_7",4,STRONG_WIN,True,True,True,True,True
supramax,30d,UNKNOWN,UNKNOWN,1802,387,358,2073.0,2631.7,13.76,0.3295,0.3,6.4,3477.7,4035.4,22.66,-0.5765,52.0,31.0,2003.6,2411.8,13.2,0.4369,55.9,45.0,1639.7,2367.6,12.62,0.1791,77.8,57.4,1933.0,2364.8,14.72,0.181,67.2,46.7,-2268.7,367.6,3220.5,2331.7,5489.2,50,1.0,20,10.0,"kdci, panamax, supramax, handy, mp1","mc8, potassium_chloride, cape_lag_3, cape_rmean_7, mkt_brent_usd_per_barrel_lag_30",4,STRONG_WIN,True,True,True,True,True
handy,1d,UNKNOWN,UNKNOWN,1803,387,387,89.2,133.8,0.9,0.997,0.3,31.8,146.6,181.2,1.38,0.9945,52.7,44.2,77.8,112.4,0.78,0.9979,65.6,41.9,97.5,130.6,0.97,0.9956,70.8,47.5,83.8,115.0,0.83,0.9966,70.0,45.8,-129.1,-6.1,122.4,115.0,251.5,30,1.0,20,1000.0,"panamax, supramax, handy, mp2, mp3","kdci_chg_7, kdci_chg_14, cape_chg_1, cape_chg_7, cape_pchg_7",3,WIN,True,True,False,True,True
handy,7d,UNKNOWN,UNKNOWN,1802,387,381,454.0,634.3,4.45,0.9279,0.0,17.9,1013.5,1197.0,9.3,0.7432,43.8,26.5,470.6,622.5,4.58,0.9305,59.6,46.3,544.9,732.8,5.57,0.8712,64.6,55.5,552.2,729.5,5.48,0.8723,60.5,48.5,-1149.2,-121.5,702.1,715.0,1851.3,30,10.0,10,1000.0,"panamax, supramax, handy, mp1, mp2","kdci_chg_7, cape_chg_7, cape_chg_14, panamax_chg_1, supramax_chg_1",2,MARGINAL,False,True,True,False,True
handy,14d,UNKNOWN,UNKNOWN,1802,387,374,745.2,1043.1,7.23,0.7917,0.0,13.7,2129.2,2480.6,20.29,-0.1782,35.0,19.3,881.8,1164.2,8.3,0.7405,55.6,42.3,935.3,1197.5,9.68,0.6683,64.1,52.0,1028.9,1456.1,10.29,0.5095,64.6,47.6,-1855.9,70.7,1606.7,1454.1,3462.5,30,10.0,50,1000.0,"panamax, supramax, handy, mp2, mp3","mc8, coal_australian, kdci_lag_7, kdci_lag_14, cape_lag_3",2,MARGINAL,False,True,True,False,True
handy,30d,UNKNOWN,UNKNOWN,1802,387,358,1220.1,1618.8,11.74,0.4623,0.3,10.5,2184.6,2604.4,20.54,-0.392,52.0,29.6,1740.3,2249.1,16.59,-0.0381,45.8,33.3,1205.0,1602.8,13.08,0.3803,76.5,54.8,1538.6,1911.6,16.11,0.1184,66.9,50.2,-2651.6,-143.1,1951.1,1883.8,4602.7,50,10.0,50,1.0,"kdci, panamax, supramax, handy, mp1","cape, mc6, mc7, mc8, mc9",2,MARGINAL,False,True,True,False,True
