Exp_ID,Name,Type,Description,Parameter_Provenance,Retained_N,Coverage_%,Gated_Prec_%,Total_Net_USD,Mean_Net_USD,2025_WAIT_Net_USD,CI_95_Low_USD,CI_95_High_USD,p_value_vs_baseline,Status
EXP-00_CANONICAL,Canonical Baseline,Baseline SSOT,"Canonical RF 1D policy (p10/p90 bounds, 0.25d flex idle)",Fixed SSOT Config,641,13.34,79.1,-503745.0,-104.86,344840.0,0.0,0.0,1.0,ACTIVE
EXP-01_FLEX_PURE_SPOT,FLEX Pure Spot Index,Exploratory Sensitivity,Sets cost_flex = cost_spot (eliminates 0.25d idle penalty on FLEX),None (Structural Rule),641,13.34,79.1,3725220.0,775.44,344840.0,3287246.75,5207778.0,0.0,ACTIVE
EXP-02_FLEX_BOUNDED_PREM,FLEX Bounded Risk Premium,Exploratory Sensitivity,Sets cost_flex = cost_spot + $100 flat fee,Fixed $100 assumption,641,13.34,79.1,3308920.0,688.78,344840.0,2872496.75,4789453.0,0.0,ACTIVE
EXP-03_WAIT_ONLY_SPOT_FLEX,WAIT-Only Active Gating,Exploratory Sensitivity,Active gating for WAIT only; NOW and FLEX default to Pure Spot,None (Structural Rule),324,6.74,83.95,3725220.0,775.44,344840.0,3287246.75,5207778.0,0.0,ACTIVE
EXP-04_MONETARY_EV_WAIT,Monetary EV WAIT Gate ($125/MT),Exploratory Sensitivity,WAIT triggered only if predicted decline > $125/MT (idle breakeven),Fixed $125/MT ($2500/20d),396,8.24,83.33,4006900.0,834.08,342460.0,3554821.75,5469204.62,0.0,ACTIVE
EXP-05_DYN_VOL_EV_GATE,Dynamic Volatility EV Gate,Exploratory Sensitivity,WAIT threshold scaled dynamically by out-of-fold validation volatility,Val fold residual std,175,3.64,85.14,2575220.0,536.06,132180.0,1984834.25,4156563.0,0.0,ACTIVE
EXP-06_WALK_FORWARD_LOCKED,Walk-Forward Tuned WAIT Policy,Walk-Forward Locked (Confirmatory),Learns threshold per vessel/year ONLY from historical val fold; evaluated on untouched test fold,Learned per fold on Val fold (0 future leakage),1509,31.41,80.52,7607420.0,1583.56,944960.0,7182011.62,9077497.62,0.0,ACTIVE
