feature_name,computation_formula,window_start,window_end,includes_future_t_plus_h,is_suspect,suspect_reason
supramax_lag_30,supramax(t - 30),t - 30,t - 30,False,False,
supramax_lag_60,supramax(t - 60),t - 60,t - 60,False,False,
supramax_lag_90,supramax(t - 90),t - 90,t - 90,False,False,
handy_lag_1,handy(t - 1),t - 1,t - 1,False,False,
handy_lag_3,handy(t - 3),t - 3,t - 3,False,False,
handy_lag_7,handy(t - 7),t - 7,t - 7,False,False,
handy_lag_14,handy(t - 14),t - 14,t - 14,False,False,
handy_lag_30,handy(t - 30),t - 30,t - 30,False,False,
handy_lag_60,handy(t - 60),t - 60,t - 60,False,False,
handy_lag_90,handy(t - 90),t - 90,t - 90,False,False,
kdci_rmean_7,mean(kdci[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
kdci_rstd_7,std(kdci[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
kdci_rmean_14,mean(kdci[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
kdci_rstd_14,std(kdci[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
kdci_rmean_30,mean(kdci[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
kdci_rstd_30,std(kdci[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
cape_rmean_7,mean(cape[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
cape_rstd_7,std(cape[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
cape_rmean_14,mean(cape[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
cape_rstd_14,std(cape[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
cape_rmean_30,mean(cape[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
cape_rstd_30,std(cape[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
panamax_rmean_7,mean(panamax[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
panamax_rstd_7,std(panamax[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
panamax_rmean_14,mean(panamax[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
panamax_rstd_14,std(panamax[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
panamax_rmean_30,mean(panamax[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
panamax_rstd_30,std(panamax[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
supramax_rmean_7,mean(supramax[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
supramax_rstd_7,std(supramax[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
supramax_rmean_14,mean(supramax[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
supramax_rstd_14,std(supramax[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
supramax_rmean_30,mean(supramax[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
supramax_rstd_30,std(supramax[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
handy_rmean_7,mean(handy[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
handy_rstd_7,std(handy[t-7+1 : t]),t - 6,t,False,True,Includes same-day close at t (window_end = t)
handy_rmean_14,mean(handy[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
handy_rstd_14,std(handy[t-14+1 : t]),t - 13,t,False,True,Includes same-day close at t (window_end = t)
handy_rmean_30,mean(handy[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
handy_rstd_30,std(handy[t-30+1 : t]),t - 29,t,False,True,Includes same-day close at t (window_end = t)
kdci_chg_1,kdci(t) - kdci(t - 1),t - 1,t,False,True,Uses same-day close at t (window_end = t)
kdci_pchg_1,(kdci(t) - kdci(t - 1)) / kdci(t - 1),t - 1,t,False,True,Uses same-day close at t (window_end = t)
kdci_chg_7,kdci(t) - kdci(t - 7),t - 7,t,False,True,Uses same-day close at t (window_end = t)
kdci_pchg_7,(kdci(t) - kdci(t - 7)) / kdci(t - 7),t - 7,t,False,True,Uses same-day close at t (window_end = t)
kdci_chg_14,kdci(t) - kdci(t - 14),t - 14,t,False,True,Uses same-day close at t (window_end = t)
kdci_pchg_14,(kdci(t) - kdci(t - 14)) / kdci(t - 14),t - 14,t,False,True,Uses same-day close at t (window_end = t)
kdci_chg_30,kdci(t) - kdci(t - 30),t - 30,t,False,True,Uses same-day close at t (window_end = t)
kdci_pchg_30,(kdci(t) - kdci(t - 30)) / kdci(t - 30),t - 30,t,False,True,Uses same-day close at t (window_end = t)
cape_chg_1,cape(t) - cape(t - 1),t - 1,t,False,True,Uses same-day close at t (window_end = t)
cape_pchg_1,(cape(t) - cape(t - 1)) / cape(t - 1),t - 1,t,False,True,Uses same-day close at t (window_end = t)
cape_chg_7,cape(t) - cape(t - 7),t - 7,t,False,True,Uses same-day close at t (window_end = t)
cape_pchg_7,(cape(t) - cape(t - 7)) / cape(t - 7),t - 7,t,False,True,Uses same-day close at t (window_end = t)
cape_chg_14,cape(t) - cape(t - 14),t - 14,t,False,True,Uses same-day close at t (window_end = t)
cape_pchg_14,(cape(t) - cape(t - 14)) / cape(t - 14),t - 14,t,False,True,Uses same-day close at t (window_end = t)
cape_chg_30,cape(t) - cape(t - 30),t - 30,t,False,True,Uses same-day close at t (window_end = t)
cape_pchg_30,(cape(t) - cape(t - 30)) / cape(t - 30),t - 30,t,False,True,Uses same-day close at t (window_end = t)
panamax_chg_1,panamax(t) - panamax(t - 1),t - 1,t,False,True,Uses same-day close at t (window_end = t)
panamax_pchg_1,(panamax(t) - panamax(t - 1)) / panamax(t - 1),t - 1,t,False,True,Uses same-day close at t (window_end = t)
panamax_chg_7,panamax(t) - panamax(t - 7),t - 7,t,False,True,Uses same-day close at t (window_end = t)
panamax_pchg_7,(panamax(t) - panamax(t - 7)) / panamax(t - 7),t - 7,t,False,True,Uses same-day close at t (window_end = t)
panamax_chg_14,panamax(t) - panamax(t - 14),t - 14,t,False,True,Uses same-day close at t (window_end = t)
