Pair,N_Ungated,Accuracy_Ungated,Precision_Ungated,Recall_Ungated,F1_Ungated,AUC_Ungated,N_Gated,Accuracy_Gated,Precision_Gated,Recall_Gated,F1_Gated,AUC_Gated
CAPE_1D,1217,66.5,64.9,64.5,64.7,0.71,174,71.3,58.3,48.3,52.8,0.711
PANAMAX_1D,1242,78.1,74.9,79.6,77.2,0.846,214,91.1,91.7,90.9,91.3,0.924
SUPRAMAX_1D,1244,75.1,73.2,77.3,75.2,0.805,200,85.0,76.0,91.2,83.0,0.805
SUPRAMAX_7D,1239,62.0,59.8,69.9,64.5,0.657,235,63.8,66.7,41.1,50.9,0.744
HANDY_1D,1244,70.7,67.4,72.0,69.6,0.769,144,79.2,72.2,87.7,79.2,0.75
HANDY_7D,1238,60.3,56.5,68.8,62.0,0.618,239,58.6,52.4,62.9,57.1,0.593
SUPRAMAX_14D,1231,54.4,56.3,38.6,45.8,0.55,503,49.1,49.1,11.0,17.9,0.564
KDCI_7D,1243,58.7,59.0,60.7,59.8,0.618,150,76.7,59.5,52.4,55.7,0.801
