date,freight_class,destination_port,current_rate_y0,forecast_30d_yhat,forecast_trend_delta,uncertainty_sigma_30d,trend_sigma_ratio,indicative_cost_risk_score,feasible_vessel_classes,recommendation,recommended_vessel_class,audit_rationale,realized_30d_rate_y30,realized_30d_return_pct,decision_success_evaluation
2026-03-05,supramax,Paradip,18097.0,19271.74,1174.74,2025.41,0.58,52.7,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.58 σ). Maintain flexible chartering timing with floating index-linked terms.,17096.0,-5.53,NEUTRAL (Index-linked contract adjusted with -5.53% market move)
2026-03-06,supramax,Paradip,18150.0,19575.83,1425.83,2025.41,0.7,53.6,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.70 σ). Maintain flexible chartering timing with floating index-linked terms.,17476.0,-3.71,NEUTRAL (Index-linked contract adjusted with -3.71% market move)
2026-03-09,supramax,Paradip,17777.0,19148.68,1371.68,2025.41,0.68,53.4,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.68 σ). Maintain flexible chartering timing with floating index-linked terms.,17539.0,-1.34,NEUTRAL (Index-linked contract adjusted with -1.34% market move)
2026-03-10,supramax,Paradip,17399.0,19057.12,1658.12,2025.41,0.82,54.5,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+0.82 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",17827.0,2.46,SUCCESS (BUY NOW avoided +2.46% price rise)
2026-03-11,supramax,Paradip,16854.0,19003.53,2149.53,2025.41,1.06,56.3,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+1.06 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",18374.0,9.02,SUCCESS (BUY NOW avoided +9.02% price rise)
2026-03-12,supramax,Paradip,16637.0,19170.53,2533.53,2025.41,1.25,57.7,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+1.25 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",19061.0,14.57,SUCCESS (BUY NOW avoided +14.57% price rise)
2026-03-13,supramax,Paradip,16433.0,19331.97,2898.97,2025.41,1.43,59.1,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+1.43 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",19509.0,18.72,SUCCESS (BUY NOW avoided +18.72% price rise)
2026-03-16,supramax,Paradip,16341.0,19298.78,2957.78,2025.41,1.46,59.3,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+1.46 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",19644.0,20.21,SUCCESS (BUY NOW avoided +20.21% price rise)
2026-03-17,supramax,Paradip,16045.0,18953.37,2908.37,2025.41,1.44,59.1,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+1.44 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",19621.0,22.29,SUCCESS (BUY NOW avoided +22.29% price rise)
2026-03-18,supramax,Paradip,15885.0,18869.61,2984.61,2025.41,1.47,59.4,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+1.47 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",19530.0,22.95,SUCCESS (BUY NOW avoided +22.95% price rise)
2026-03-19,supramax,Paradip,15604.0,18578.94,2974.94,2025.41,1.47,59.4,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+1.47 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",19519.0,25.09,SUCCESS (BUY NOW avoided +25.09% price rise)
2026-03-20,supramax,Paradip,15461.0,18882.19,3421.19,2025.41,1.69,61.0,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+1.69 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",19255.0,24.54,SUCCESS (BUY NOW avoided +24.54% price rise)
2026-03-23,supramax,Paradip,15278.0,17842.36,2564.36,2025.41,1.27,57.8,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+1.27 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",19340.0,26.59,SUCCESS (BUY NOW avoided +26.59% price rise)
2026-03-24,supramax,Paradip,15176.0,18112.39,2936.39,2025.41,1.45,59.2,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+1.45 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",19443.0,28.12,SUCCESS (BUY NOW avoided +28.12% price rise)
2026-03-25,supramax,Paradip,15183.0,17988.02,2805.02,2025.41,1.38,58.7,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+1.38 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",19482.0,28.31,SUCCESS (BUY NOW avoided +28.31% price rise)
2026-03-26,supramax,Paradip,15115.0,17843.27,2728.27,2025.41,1.35,58.5,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+1.35 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",19721.0,30.47,SUCCESS (BUY NOW avoided +30.47% price rise)
2026-03-27,supramax,Paradip,15053.0,17761.0,2708.0,2025.41,1.34,58.4,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+1.34 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",19733.0,31.09,SUCCESS (BUY NOW avoided +31.09% price rise)
2026-03-30,supramax,Paradip,15112.0,18080.96,2968.96,2025.41,1.47,59.3,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+1.47 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",19724.0,30.52,SUCCESS (BUY NOW avoided +30.52% price rise)
2026-03-31,supramax,Paradip,14713.0,17828.39,3115.39,2025.41,1.54,59.9,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+1.54 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",19817.0,34.69,SUCCESS (BUY NOW avoided +34.69% price rise)
2026-04-01,supramax,Paradip,14617.0,19367.64,4750.64,2025.41,2.35,65.9,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+2.35 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",19923.0,36.3,SUCCESS (BUY NOW avoided +36.30% price rise)
2026-04-02,supramax,Paradip,14845.0,19522.41,4677.41,2025.41,2.31,65.7,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+2.31 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",20086.0,35.3,SUCCESS (BUY NOW avoided +35.30% price rise)
2026-04-03,supramax,Paradip,15072.0,18761.19,3689.19,2025.41,1.82,62.0,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+1.82 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",20017.0,32.81,SUCCESS (BUY NOW avoided +32.81% price rise)
2026-04-06,supramax,Paradip,14740.0,19068.26,4328.26,2025.41,2.14,64.4,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+2.14 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",20076.0,36.2,SUCCESS (BUY NOW avoided +36.20% price rise)
2026-04-07,supramax,Paradip,14948.0,19628.28,4680.28,2025.41,2.31,65.7,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+2.31 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",20111.0,34.54,SUCCESS (BUY NOW avoided +34.54% price rise)
2026-04-08,supramax,Paradip,15211.0,19224.55,4013.55,2025.41,1.98,63.2,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+1.98 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",20170.0,32.6,SUCCESS (BUY NOW avoided +32.60% price rise)
2026-04-09,supramax,Paradip,15469.0,19531.99,4062.99,2025.41,2.01,63.4,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+2.01 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",20198.0,30.57,SUCCESS (BUY NOW avoided +30.57% price rise)
2026-04-10,supramax,Paradip,15859.0,19093.22,3234.22,2025.41,1.6,60.3,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+1.60 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",20066.0,26.53,SUCCESS (BUY NOW avoided +26.53% price rise)
2026-04-13,supramax,Paradip,15950.0,19102.66,3152.66,2025.41,1.56,60.0,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+1.56 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",19983.0,25.29,SUCCESS (BUY NOW avoided +25.29% price rise)
2026-04-14,supramax,Paradip,16208.0,18938.58,2730.58,2025.41,1.35,58.5,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+1.35 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",19976.0,23.25,SUCCESS (BUY NOW avoided +23.25% price rise)
2026-04-15,supramax,Paradip,16552.0,18913.88,2361.88,2025.41,1.17,57.1,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+1.17 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",20001.0,20.84,SUCCESS (BUY NOW avoided +20.84% price rise)
2026-04-16,supramax,Paradip,17096.0,19381.01,2285.01,2025.41,1.13,56.8,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+1.13 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",20075.0,17.43,SUCCESS (BUY NOW avoided +17.43% price rise)
2026-04-17,supramax,Paradip,17476.0,18961.41,1485.41,2025.41,0.73,53.9,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.73 σ). Maintain flexible chartering timing with floating index-linked terms.,20105.0,15.04,NEUTRAL (Index-linked contract adjusted with +15.04% market move)
2026-04-20,supramax,Paradip,17539.0,19026.37,1487.37,2025.41,0.73,53.9,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.73 σ). Maintain flexible chartering timing with floating index-linked terms.,20077.0,14.47,NEUTRAL (Index-linked contract adjusted with +14.47% market move)
2026-04-21,supramax,Paradip,17827.0,18910.7,1083.7,2025.41,0.54,52.4,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.54 σ). Maintain flexible chartering timing with floating index-linked terms.,20253.0,13.61,NEUTRAL (Index-linked contract adjusted with +13.61% market move)
2026-04-22,supramax,Paradip,18374.0,18876.31,502.31,2025.41,0.25,50.2,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.25 σ). Maintain flexible chartering timing with floating index-linked terms.,20380.0,10.92,NEUTRAL (Index-linked contract adjusted with +10.92% market move)
2026-04-23,supramax,Paradip,19061.0,19309.05,248.05,2025.41,0.12,49.3,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.12 σ). Maintain flexible chartering timing with floating index-linked terms.,20500.0,7.55,NEUTRAL (Index-linked contract adjusted with +7.55% market move)
2026-04-24,supramax,Paradip,19509.0,19321.83,-187.17,2025.41,-0.09,47.7,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (-0.09 σ). Maintain flexible chartering timing with floating index-linked terms.,20648.0,5.84,NEUTRAL (Index-linked contract adjusted with +5.84% market move)
2026-04-27,supramax,Paradip,19644.0,19653.53,9.53,2025.41,0.0,48.4,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.00 σ). Maintain flexible chartering timing with floating index-linked terms.,20701.0,5.38,NEUTRAL (Index-linked contract adjusted with +5.38% market move)
2026-04-28,supramax,Paradip,19621.0,20169.2,548.2,2025.41,0.27,50.4,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.27 σ). Maintain flexible chartering timing with floating index-linked terms.,20841.0,6.22,NEUTRAL (Index-linked contract adjusted with +6.22% market move)
2026-04-29,supramax,Paradip,19530.0,20277.63,747.63,2025.41,0.37,51.1,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.37 σ). Maintain flexible chartering timing with floating index-linked terms.,21091.0,7.99,NEUTRAL (Index-linked contract adjusted with +7.99% market move)
2026-04-30,supramax,Paradip,19519.0,20179.83,660.83,2025.41,0.33,50.8,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.33 σ). Maintain flexible chartering timing with floating index-linked terms.,21379.0,9.53,NEUTRAL (Index-linked contract adjusted with +9.53% market move)
2026-05-06,supramax,Paradip,19255.0,20227.4,972.4,2025.41,0.48,52.0,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.48 σ). Maintain flexible chartering timing with floating index-linked terms.,21370.0,10.98,NEUTRAL (Index-linked contract adjusted with +10.98% market move)
2026-05-07,supramax,Paradip,19340.0,20390.21,1050.21,2025.41,0.52,52.2,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.52 σ). Maintain flexible chartering timing with floating index-linked terms.,21432.0,10.82,NEUTRAL (Index-linked contract adjusted with +10.82% market move)
2026-05-08,supramax,Paradip,19443.0,20425.12,982.12,2025.41,0.48,52.0,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.48 σ). Maintain flexible chartering timing with floating index-linked terms.,21375.0,9.94,NEUTRAL (Index-linked contract adjusted with +9.94% market move)
2026-05-11,supramax,Paradip,19482.0,20419.88,937.88,2025.41,0.46,51.8,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.46 σ). Maintain flexible chartering timing with floating index-linked terms.,21500.0,10.36,NEUTRAL (Index-linked contract adjusted with +10.36% market move)
2026-05-12,supramax,Paradip,19721.0,20885.16,1164.16,2025.41,0.57,52.7,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.57 σ). Maintain flexible chartering timing with floating index-linked terms.,21553.0,9.29,NEUTRAL (Index-linked contract adjusted with +9.29% market move)
2026-05-13,supramax,Paradip,19733.0,20965.25,1232.25,2025.41,0.61,52.9,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.61 σ). Maintain flexible chartering timing with floating index-linked terms.,21396.0,8.43,NEUTRAL (Index-linked contract adjusted with +8.43% market move)
2026-05-14,supramax,Paradip,19724.0,21176.8,1452.8,2025.41,0.72,53.7,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.72 σ). Maintain flexible chartering timing with floating index-linked terms.,21251.0,7.74,NEUTRAL (Index-linked contract adjusted with +7.74% market move)
2026-05-15,supramax,Paradip,19817.0,21107.16,1290.16,2025.41,0.64,53.1,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.64 σ). Maintain flexible chartering timing with floating index-linked terms.,21082.0,6.38,NEUTRAL (Index-linked contract adjusted with +6.38% market move)
2026-05-18,supramax,Paradip,19923.0,21654.77,1731.77,2025.41,0.86,54.8,"SUPRA, PANA, CAPE",BUY NOW,SUPRA,"Strong upward forecast trend (+0.86 σ) combined with elevated risk signals (Port Risk: 83.4, Disruption Risk: 10.0). Lock fixed forward rate now to secure tonnage before expected rate surge.",20907.0,4.94,SUCCESS (BUY NOW avoided +4.94% price rise)
2026-05-19,supramax,Paradip,20086.0,21545.27,1459.27,2025.41,0.72,53.8,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.72 σ). Maintain flexible chartering timing with floating index-linked terms.,21033.0,4.71,NEUTRAL (Index-linked contract adjusted with +4.71% market move)
2026-05-20,supramax,Paradip,20017.0,20966.24,949.24,2025.41,0.47,51.9,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.47 σ). Maintain flexible chartering timing with floating index-linked terms.,21110.0,5.46,NEUTRAL (Index-linked contract adjusted with +5.46% market move)
2026-05-21,supramax,Paradip,20076.0,20554.15,478.15,2025.41,0.24,50.1,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.24 σ). Maintain flexible chartering timing with floating index-linked terms.,21089.0,5.05,NEUTRAL (Index-linked contract adjusted with +5.05% market move)
2026-05-22,supramax,Paradip,20111.0,20707.49,596.49,2025.41,0.29,50.6,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.29 σ). Maintain flexible chartering timing with floating index-linked terms.,21124.0,5.04,NEUTRAL (Index-linked contract adjusted with +5.04% market move)
2026-05-26,supramax,Paradip,20170.0,20802.32,632.32,2025.41,0.31,50.7,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.31 σ). Maintain flexible chartering timing with floating index-linked terms.,21112.0,4.67,NEUTRAL (Index-linked contract adjusted with +4.67% market move)
2026-05-27,supramax,Paradip,20198.0,20649.16,451.16,2025.41,0.22,50.0,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.22 σ). Maintain flexible chartering timing with floating index-linked terms.,21109.0,4.51,NEUTRAL (Index-linked contract adjusted with +4.51% market move)
2026-05-28,supramax,Paradip,20066.0,20283.94,217.94,2025.41,0.11,49.2,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.11 σ). Maintain flexible chartering timing with floating index-linked terms.,21192.0,5.61,NEUTRAL (Index-linked contract adjusted with +5.61% market move)
2026-05-29,supramax,Paradip,19983.0,20376.2,393.2,2025.41,0.19,49.8,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.19 σ). Maintain flexible chartering timing with floating index-linked terms.,21130.0,5.74,NEUTRAL (Index-linked contract adjusted with +5.74% market move)
2026-06-01,supramax,Paradip,19976.0,20878.04,902.04,2025.41,0.45,51.7,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.45 σ). Maintain flexible chartering timing with floating index-linked terms.,21312.0,6.69,NEUTRAL (Index-linked contract adjusted with +6.69% market move)
2026-06-02,supramax,Paradip,20001.0,20970.74,969.74,2025.41,0.48,51.9,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.48 σ). Maintain flexible chartering timing with floating index-linked terms.,21378.0,6.88,NEUTRAL (Index-linked contract adjusted with +6.88% market move)
2026-06-04,supramax,Paradip,20075.0,20893.78,818.78,2025.41,0.4,51.4,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.40 σ). Maintain flexible chartering timing with floating index-linked terms.,21501.0,7.1,NEUTRAL (Index-linked contract adjusted with +7.10% market move)
2026-06-05,supramax,Paradip,20105.0,20989.59,884.59,2025.41,0.44,51.6,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.44 σ). Maintain flexible chartering timing with floating index-linked terms.,21628.0,7.58,NEUTRAL (Index-linked contract adjusted with +7.58% market move)
2026-06-08,supramax,Paradip,20077.0,20964.22,887.22,2025.41,0.44,51.6,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.44 σ). Maintain flexible chartering timing with floating index-linked terms.,21467.0,6.92,NEUTRAL (Index-linked contract adjusted with +6.92% market move)
2026-06-09,supramax,Paradip,20253.0,20598.58,345.58,2025.41,0.17,49.6,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.17 σ). Maintain flexible chartering timing with floating index-linked terms.,21349.0,5.41,NEUTRAL (Index-linked contract adjusted with +5.41% market move)
2026-06-10,supramax,Paradip,20380.0,20931.53,551.53,2025.41,0.27,50.4,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.27 σ). Maintain flexible chartering timing with floating index-linked terms.,21120.0,3.63,NEUTRAL (Index-linked contract adjusted with +3.63% market move)
2026-06-11,supramax,Paradip,20500.0,20767.94,267.94,2025.41,0.13,49.3,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.13 σ). Maintain flexible chartering timing with floating index-linked terms.,20918.0,2.04,NEUTRAL (Index-linked contract adjusted with +2.04% market move)
2026-06-12,supramax,Paradip,20648.0,20737.4,89.4,2025.41,0.04,48.7,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (0.04 σ). Maintain flexible chartering timing with floating index-linked terms.,20688.0,0.19,NEUTRAL (Index-linked contract adjusted with +0.19% market move)
2026-06-15,supramax,Paradip,20701.0,20666.6,-34.4,2025.41,-0.02,48.2,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (-0.02 σ). Maintain flexible chartering timing with floating index-linked terms.,20426.0,-1.33,NEUTRAL (Index-linked contract adjusted with -1.33% market move)
2026-06-16,supramax,Paradip,20841.0,20503.65,-337.35,2025.41,-0.17,47.1,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (-0.17 σ). Maintain flexible chartering timing with floating index-linked terms.,20108.0,-3.52,NEUTRAL (Index-linked contract adjusted with -3.52% market move)
2026-06-17,supramax,Paradip,21091.0,20627.09,-463.91,2025.41,-0.23,46.6,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (-0.23 σ). Maintain flexible chartering timing with floating index-linked terms.,19815.0,-6.05,NEUTRAL (Index-linked contract adjusted with -6.05% market move)
2026-06-18,supramax,Paradip,21379.0,20712.42,-666.58,2025.41,-0.33,45.9,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (-0.33 σ). Maintain flexible chartering timing with floating index-linked terms.,19724.0,-7.74,NEUTRAL (Index-linked contract adjusted with -7.74% market move)
2026-06-19,supramax,Paradip,21370.0,20850.18,-519.82,2025.41,-0.26,46.4,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (-0.26 σ). Maintain flexible chartering timing with floating index-linked terms.,19654.0,-8.03,NEUTRAL (Index-linked contract adjusted with -8.03% market move)
2026-06-22,supramax,Paradip,21432.0,20615.67,-816.33,2025.41,-0.4,45.3,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (-0.40 σ). Maintain flexible chartering timing with floating index-linked terms.,19659.0,-8.27,NEUTRAL (Index-linked contract adjusted with -8.27% market move)
2026-06-23,supramax,Paradip,21375.0,20143.02,-1231.98,2025.41,-0.61,43.8,"SUPRA, PANA, CAPE",WAIT,SUPRA,Downward forecast trend (-0.61 σ) with Low/Moderate disruption risk. Delay chartering to capitalize on falling spot market rates.,19607.0,-8.27,SUCCESS (WAIT captured -8.27% price drop)
2026-06-24,supramax,Paradip,21500.0,20027.75,-1472.25,2025.41,-0.73,42.9,"SUPRA, PANA, CAPE",WAIT,SUPRA,Downward forecast trend (-0.73 σ) with Low/Moderate disruption risk. Delay chartering to capitalize on falling spot market rates.,19518.0,-9.22,SUCCESS (WAIT captured -9.22% price drop)
2026-06-25,supramax,Paradip,21553.0,20215.81,-1337.19,2025.41,-0.66,43.4,"SUPRA, PANA, CAPE",WAIT,SUPRA,Downward forecast trend (-0.66 σ) with Low/Moderate disruption risk. Delay chartering to capitalize on falling spot market rates.,19464.0,-9.69,SUCCESS (WAIT captured -9.69% price drop)
2026-06-26,supramax,Paradip,21396.0,19911.74,-1484.26,2025.41,-0.73,42.9,"SUPRA, PANA, CAPE",WAIT,SUPRA,Downward forecast trend (-0.73 σ) with Low/Moderate disruption risk. Delay chartering to capitalize on falling spot market rates.,19387.0,-9.39,SUCCESS (WAIT captured -9.39% price drop)
2026-06-29,supramax,Paradip,21251.0,20324.98,-926.02,2025.41,-0.46,44.9,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (-0.46 σ). Maintain flexible chartering timing with floating index-linked terms.,19292.0,-9.22,NEUTRAL (Index-linked contract adjusted with -9.22% market move)
2026-06-30,supramax,Paradip,21082.0,20297.28,-784.72,2025.41,-0.39,45.4,"SUPRA, PANA, CAPE",FLEXIBLE / INDEX-LINKED,SUPRA,Neutral rate trend (-0.39 σ). Maintain flexible chartering timing with floating index-linked terms.,19288.0,-8.51,NEUTRAL (Index-linked contract adjusted with -8.51% market move)
2026-07-01,supramax,Paradip,20907.0,18976.48,-1930.52,2025.41,-0.95,41.2,"SUPRA, PANA, CAPE",WAIT,SUPRA,Downward forecast trend (-0.95 σ) with Low/Moderate disruption risk. Delay chartering to capitalize on falling spot market rates.,19516.0,-6.65,SUCCESS (WAIT captured -6.65% price drop)
