column,category,dtype,null_count,null_pct
cape_chg_7,momentum_feature,float64,43,1.67
cape_pchg_7,momentum_feature,float64,43,1.67
cape_chg_14,momentum_feature,float64,50,1.94
cape_pchg_14,momentum_feature,float64,50,1.94
cape_chg_30,momentum_feature,float64,66,2.56
cape_pchg_30,momentum_feature,float64,66,2.56
panamax_chg_1,momentum_feature,float64,5,0.19
panamax_pchg_1,momentum_feature,float64,5,0.19
panamax_chg_7,momentum_feature,float64,11,0.43
panamax_pchg_7,momentum_feature,float64,11,0.43
panamax_chg_14,momentum_feature,float64,18,0.7
panamax_pchg_14,momentum_feature,float64,18,0.7
panamax_chg_30,momentum_feature,float64,33,1.28
panamax_pchg_30,momentum_feature,float64,33,1.28
supramax_chg_1,momentum_feature,float64,4,0.15
supramax_pchg_1,momentum_feature,float64,4,0.15
supramax_chg_7,momentum_feature,float64,11,0.43
supramax_pchg_7,momentum_feature,float64,11,0.43
supramax_chg_14,momentum_feature,float64,18,0.7
supramax_pchg_14,momentum_feature,float64,18,0.7
supramax_chg_30,momentum_feature,float64,34,1.32
supramax_pchg_30,momentum_feature,float64,34,1.32
handy_chg_1,momentum_feature,float64,4,0.15
handy_pchg_1,momentum_feature,float64,4,0.15
handy_chg_7,momentum_feature,float64,11,0.43
handy_pchg_7,momentum_feature,float64,11,0.43
handy_chg_14,momentum_feature,float64,18,0.7
handy_pchg_14,momentum_feature,float64,18,0.7
handy_chg_30,momentum_feature,float64,34,1.32
handy_pchg_30,momentum_feature,float64,34,1.32
mkt_usd_inr_lag_1,lag_feature,float64,97,3.76
mkt_usd_inr_lag_7,lag_feature,float64,99,3.84
mkt_usd_inr_lag_14,lag_feature,float64,106,4.11
mkt_usd_inr_lag_30,lag_feature,float64,122,4.73
mkt_brent_usd_per_barrel_lag_1,lag_feature,float64,45,1.74
mkt_brent_usd_per_barrel_lag_7,lag_feature,float64,48,1.86
mkt_brent_usd_per_barrel_lag_14,lag_feature,float64,55,2.13
mkt_brent_usd_per_barrel_lag_30,lag_feature,float64,71,2.75
mkt_wti_usd_per_barrel_lag_1,lag_feature,float64,95,3.68
mkt_wti_usd_per_barrel_lag_7,lag_feature,float64,99,3.84
mkt_wti_usd_per_barrel_lag_14,lag_feature,float64,106,4.11
mkt_wti_usd_per_barrel_lag_30,lag_feature,float64,122,4.73
mkt_n10d_lag_1,lag_feature,float64,3,0.12
mkt_n10d_lag_7,lag_feature,float64,7,0.27
mkt_n10d_lag_14,lag_feature,float64,14,0.54
mkt_n10d_lag_30,lag_feature,float64,30,1.16
mkt_gprd_lag_1,lag_feature,float64,3,0.12
mkt_gprd_lag_7,lag_feature,float64,7,0.27
mkt_gprd_lag_14,lag_feature,float64,14,0.54
mkt_gprd_lag_30,lag_feature,float64,30,1.16
mkt_iron_ore_cfr_spot_lag_1,lag_feature,float64,1,0.04
mkt_iron_ore_cfr_spot_lag_7,lag_feature,float64,7,0.27
mkt_iron_ore_cfr_spot_lag_14,lag_feature,float64,14,0.54
mkt_iron_ore_cfr_spot_lag_30,lag_feature,float64,30,1.16
mkt_coal_australian_lag_1,lag_feature,float64,1,0.04
mkt_coal_australian_lag_7,lag_feature,float64,7,0.27
mkt_coal_australian_lag_14,lag_feature,float64,14,0.54
mkt_coal_australian_lag_30,lag_feature,float64,30,1.16
mkt_coal_south_african_lag_1,lag_feature,float64,1,0.04
mkt_coal_south_african_lag_7,lag_feature,float64,7,0.27
